                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      18      |      35           | (-0.2245, -0.2251, 0.4122, -1.4178, 0.9158)  |    -0.9491     |   0.0470              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      19      |      37           | (-0.2231, -0.2254, 0.4091, -1.4203, 0.9150)  |    -0.9492     |   0.0388              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      20      |      38           | (-0.2225, -0.2254, 0.4051, -1.4234, 0.9141)  |    -0.9493     |   0.0214              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      21      |      40           | (-0.2236, -0.2252, 0.4061, -1.4225, 0.9144)  |    -0.9493     |   0.0120              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      22      |      42           | (-0.2240, -0.2252, 0.4064, -1.4223, 0.9144)  |    -0.9493     |   0.0070              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      23      |      43           | (-0.2243, -0.2251, 0.4063, -1.4224, 0.9144)  |    -0.9493     |   0.0061              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      24      |      44           | (-0.2245, -0.2252, 0.4055, -1.4230, 0.9142)  |    -0.9493     |   0.0045              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      25      |      46           | (-0.2247, -0.2252, 0.4057, -1.4228, 0.9142)  |    -0.9493     |   0.0030              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      26      |      48           | (-0.2248, -0.2251, 0.4058, -1.4227, 0.9143)  |    -0.9493     |   0.0018              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      27      |      50           | (-0.2249, -0.2251, 0.4058, -1.4227, 0.9143)  |    -0.9493     |   0.0011              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      28      |      51           | (-0.2250, -0.2251, 0.4058, -1.4227, 0.9143)  |    -0.9493     |   0.0008              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      29      |      53           | (-0.2250, -0.2251, 0.4058, -1.4227, 0.9143)  |    -0.9493     |   0.0005              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      30      |      54           | (-0.2250, -0.2251, 0.4058, -1.4227, 0.9143)  |    -0.9493     |   0.0004              |
|  (1.0000, 2.0000, 3.0000, 4.0000, 5.0000)  |      31      |      55           | (-0.2251, -0.2251, 0.4058, -1.4228, 0.9143)  |    -0.9493     |   0.0003              |
